Age,Gender,Degree,Title,Industry of employer,Size of employer,State of employer in incorporate machine learning into business,Yearly salary,Years of coding experience,Years of experience in machine learning methods,Most frequently used data science platform,Most frequently used big data products,Experience with TPU,Primary tool for analyzing data,Regularly use Python,Regularly use R,Regularly use SQL,Regularly use Scikit-learn,Regularly use TensorFlow,Regularly use Keras,Regularly use PyTorch,Regularly use Xgboost,Regularly use Linear or Logistic Regression,Regularly use Decision Trees or Random Forests,Regularly use Gradient Boosting Machines,Regularly use Bayesian Approaches,Regularly use Convolutional Neural Networks
25-29,Man,Master's,Data Scientist,Energy/Mining,"1000-9,999 employees",exploring,"80,000-89,999",3-5 years,1-2 years,laptop,,2-5 times,Local development environments,Yes,,Yes,Yes,,,,,Yes,Yes,,,
25-29,Man,Doctoral,Student,,,,,1-3 years,1-2 years,desktop,,2-5 times,Local development environments,Yes,,,Yes,Yes,Yes,,,,,,,Yes
45-49,Woman,Bachelor's,Data Analyst,Retail/Sales,0-49 employees,for insights only,"4,000-4,999",1-3 years,Under 1 year,laptop,,Never,Local development environments,Yes,,,Yes,,,,,Yes,Yes,,,
35-39,Man,Doctoral,Data Scientist,Academics/Education,"10,000 or more employees",recently started,"80,000-89,999",5-10 years,10-20 years,laptop,Microsoft Azure Cosmos DB ,More than 25 times,Local development environments,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes
60-69,Man,Master's,Other,Manufacturing/Fabrication,"10,000 or more employees",exploring,"200,000-249,999",< 1 years,1-2 years,laptop,,Never,Basic statistical software,,,,Yes,,,,,Yes,Yes,,,
18-21,Woman,Master's,Data Analyst,Academics/Education,"1000-9,999 employees",exploring,"1,000-1,999",5-10 years,4-5 years,laptop,PostgreSQL ,Never,Local development environments,Yes,Yes,Yes,Yes,,,,,Yes,,,,
35-39,Man,Bachelor's,Business Analyst,Medical/Pharmaceutical,"10,000 or more employees",recently started,"100,000-124,999",1-3 years,Under 1 year,cloud computing platform,Oracle Database ,Never,Basic statistical software,Yes,,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,
25-29,Man,Master's,Student,,,,,5-10 years,Under 1 year,cloud computing platform,,Never,,Yes,,,Yes,,,,,Yes,,,,Yes
60-69,Man,Doctoral,Other,Manufacturing/Fabrication,0-49 employees,do not use,"80,000-89,999",< 1 years,Under 1 year,laptop,,Never,Advanced statistical software,,,,,,,,,Yes,,,Yes,
25-29,Man,Master's,Business Analyst,Computers/Technology,0-49 employees,exploring,0-999,I have never written code,,,,,Basic statistical software,,,,,,,,,,,,,
35-39,Man,Bachelor's,Data Scientist,Computers/Technology,"1000-9,999 employees",well established,"300,000-499,999",10-20 years,10-20 years,laptop,MongoDB ,Once,Local development environments,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes
45-49,Woman,Bachelor's,Software Engineer,Accounting/Finance,"10,000 or more employees",,,< 1 years,Under 1 year,laptop,,2-5 times,,Yes,,,,Yes,Yes,,,Yes,,,,
50-54,Man,Bachelor's,Software Engineer,Government/Public Service,"10,000 or more employees",I do not know,"100,000-124,999",20+ years,I do not use machine learning methods,laptop,,Never,,,,Yes,,,,,,,,,,
30-34,Man,Doctoral,Product Manager,Computers/Technology,250-999 employees,well established,"150,000-199,999",5-10 years,5-10 years,cloud computing platform,Amazon DynamoDB ,2-5 times,Other,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
18-21,Man,Bachelor's,Student,,,,,1-3 years,Under 1 year,laptop,,Never,,Yes,,,,,,,,,,,,
18-21,Woman,Bachelor's,Student,,,,,1-3 years,I do not use machine learning methods,laptop,,Never,Local development environments,Yes,Yes,Yes,,,,,,,,,,
70+,Woman,Master's,Business Analyst,Medical/Pharmaceutical,250-999 employees,I do not know,0-999,1-3 years,I do not use machine learning methods,laptop,,Never,,,,,,,,,,,,,,
60-69,Man,Professional doctorate,Data Scientist,Medical/Pharmaceutical,0-49 employees,recently started,"150,000-199,999",10-20 years,4-5 years,cloud computing platform,MySQL ,2-5 times,Local development environments,Yes,,,Yes,Yes,Yes,,,Yes,Yes,Yes,,Yes
70+,Man,Master's,Data Engineer,Insurance/Risk Assessment,250-999 employees,exploring,"150,000-199,999",20+ years,2-3 years,laptop,Microsoft SQL Server ,6-25 times,Local development environments,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes
45-49,Man,Bachelor's,Software Engineer,Computers/Technology,"1000-9,999 employees",well established,"300,000-499,999",20+ years,3-4 years,cloud computing platform,,Never,Other,Yes,,,,Yes,,Yes,,Yes,Yes,,Yes,
40-44,Woman,Master's,Product Manager,Energy/Mining,"10,000 or more employees",recently started,"125,000-149,999",I have never written code,,,,,Basic statistical software,,,,,,,,,,,,,
35-39,Man,college study without degree,Currently not employed,,,,,20+ years,Under 1 year,laptop,,Never,Other,Yes,,Yes,,Yes,,Yes,,,,,,Yes
22-24,Man,Doctoral,Research Scientist,Academics/Education,50-249 employees,exploring,0-999,I have never written code,,,,,Basic statistical software,,,,,,,,,,,,,
22-24,Prefer not to say,Bachelor's,Student,,,,,3-5 years,2-3 years,desktop,,Once,Local development environments,,,,Yes,,,,Yes,,Yes,Yes,,Yes
55-59,Man,Doctoral,Other,Academics/Education,"1000-9,999 employees",I do not know,"100,000-124,999",20+ years,20 or more years,Other,,More than 25 times,Basic statistical software,Yes,,,,Yes,Yes,Yes,,,,,,Yes
30-34,Man,Bachelor's,Data Scientist,Energy/Mining,50-249 employees,for insights only,"90,000-99,999",5-10 years,2-3 years,laptop,,Never,Local development environments,,Yes,,,,,,,Yes,,,Yes,
40-44,Man,Doctoral,Research Scientist,Academics/Education,250-999 employees,I do not know,"100,000-124,999",20+ years,2-3 years,desktop,MySQL ,Never,Local development environments,Yes,Yes,,,,,,,Yes,,,,
40-44,Prefer not to say,Doctoral,Data Analyst,Academics/Education,"1000-9,999 employees",recently started,"60,000-69,999",10-20 years,3-4 years,desktop,SQLite ,Never,Local development environments,Yes,Yes,Yes,,Yes,Yes,,,Yes,,,,
50-54,Man,Master's,Currently not employed,,,,,1-3 years,2-3 years,laptop,,Once,Business intelligence software,Yes,,Yes,Yes,Yes,,,,Yes,Yes,,,
25-29,Man,Bachelor's,Machine Learning Engineer,Online Business/Internet-based Sales,250-999 employees,recently started,"125,000-149,999",5-10 years,1-2 years,cloud computing platform,Snowflake ,Never,Local development environments,Yes,,Yes,,,,Yes,,Yes,Yes,,,
25-29,Woman,Master's,Student,,,,,1-3 years,Under 1 year,laptop,,Once,Cloud-based data software & APIs,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes
30-34,Man,Master's,Data Scientist,Shipping/Transportation,"10,000 or more employees",well established,"80,000-89,999",5-10 years,3-4 years,laptop,Microsoft SQL Server ,Never,Local development environments,Yes,,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,
40-44,Man,Doctoral,Research Scientist,Medical/Pharmaceutical,"10,000 or more employees",well established,"7,500-9,999",10-20 years,5-10 years,laptop,,2-5 times,Advanced statistical software,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,,Yes,Yes
30-34,Woman,Doctoral,Currently not employed,,,,,5-10 years,1-2 years,laptop,,2-5 times,Business intelligence software,Yes,,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes
35-39,Man,Bachelor's,Other,Other,0-49 employees,do not use,,3-5 years,Under 1 year,laptop,,Never,,Yes,,Yes,Yes,Yes,Yes,,,,,,Yes,
70+,Man,Bachelor's,Student,,,,,< 1 years,I do not use machine learning methods,desktop,,Never,Local development environments,Yes,,,,,,,,,,,,
35-39,Man,Doctoral,Machine Learning Engineer,Computers/Technology,"10,000 or more employees",well established,"500,000-999,999",10-20 years,5-10 years,Other,,Never,Cloud-based data software & APIs,Yes,,Yes,,Yes,,Yes,Yes,Yes,,Yes,,
40-44,Man,Bachelor's,Data Scientist,Medical/Pharmaceutical,0-49 employees,I do not know,0-999,< 1 years,Under 1 year,desktop,,Never,Other,Yes,,,Yes,,,,,Yes,,,,
35-39,Man,Doctoral,Data Scientist,Medical/Pharmaceutical,"1000-9,999 employees",for insights only,"150,000-199,999",3-5 years,4-5 years,laptop,,Once,Local development environments,,Yes,,Yes,,,,Yes,,,Yes,,
30-34,Man,college study without degree,Research Scientist,Computers/Technology,50-249 employees,exploring,"80,000-89,999",10-20 years,Under 1 year,laptop,Google Cloud Firestore ,Once,,Yes,,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,
35-39,Man,Master's,Student,,,,,< 1 years,Under 1 year,laptop,,Never,Local development environments,,Yes,,,,,,,,Yes,,Yes,
55-59,Man,Bachelor's,Other,Energy/Mining,"10,000 or more employees",I do not know,0-999,20+ years,I do not use machine learning methods,laptop,,Never,Local development environments,,,Yes,,,,,,,,,,
22-24,Man,Bachelor's,Student,,,,,3-5 years,2-3 years,laptop,,2-5 times,Basic statistical software,Yes,,,Yes,Yes,Yes,,,,,,,Yes
35-39,Man,Doctoral,Data Scientist,Other,0-49 employees,recently started,"100,000-124,999",5-10 years,1-2 years,cloud computing platform,MongoDB ,Once,Local development environments,Yes,,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
40-44,Woman,Master's,Other,Academics/Education,250-999 employees,I do not know,"50,000-59,999",1-3 years,I do not use machine learning methods,laptop,,Never,Basic statistical software,,,Yes,,,,,,,,,,
60-69,Man,Master's,Research Scientist,Computers/Technology,0-49 employees,for insights only,"90,000-99,999",10-20 years,3-4 years,laptop,,6-25 times,Basic statistical software,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes
22-24,Man,Bachelor's,Research Scientist,Academics/Education,0-49 employees,do not use,0-999,3-5 years,1-2 years,desktop,,Never,Local development environments,Yes,,,Yes,Yes,,,Yes,,Yes,Yes,,
45-49,Man,Master's,Other,Online Service/Internet-based Services,0-49 employees,exploring,"70,000-79,999",< 1 years,I do not use machine learning methods,laptop,PostgreSQL ,Never,Business intelligence software,,,,,,,,,,,,,
25-29,Woman,Bachelor's,Other,Military/Security/Defense,250-999 employees,I do not know,"25,000-29,999",3-5 years,I do not use machine learning methods,laptop,,Never,Local development environments,Yes,,,,,,,,,,,,
50-54,Man,Doctoral,Product Manager,Online Service/Internet-based Services,"10,000 or more employees",well established,"300,000-499,999",20+ years,20 or more years,cloud computing platform,,2-5 times,Basic statistical software,Yes,,,Yes,,,Yes,,Yes,,Yes,,Yes
18-21,Man,Bachelor's,Student,,,,,3-5 years,2-3 years,desktop,,2-5 times,,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,Yes
55-59,Man,Bachelor's,Other,Energy/Mining,"10,000 or more employees",I do not know,0-999,20+ years,I do not use machine learning methods,laptop,Oracle Database ,Never,Advanced statistical software,,,Yes,,,,,,,,,,
55-59,Man,Bachelor's,Software Engineer,Marketing/CRM,"10,000 or more employees",well established,"150,000-199,999",20+ years,2-3 years,laptop,MySQL ,6-25 times,,Yes,,,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,
40-44,Man,high school,Other,Manufacturing/Fabrication,250-999 employees,exploring,"50,000-59,999",1-3 years,Under 1 year,desktop,,6-25 times,Local development environments,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,Yes
25-29,Man,Master's,Student,,,,,3-5 years,1-2 years,Other,,2-5 times,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes
25-29,Man,college study without degree,Student,,,,,1-3 years,Under 1 year,desktop,,Never,,Yes,,,,,,,,,,,,
60-69,Man,Master's,DBA/Database Engineer,Other,0-49 employees,do not use,"20,000-24,999",20+ years,I do not use machine learning methods,laptop,Microsoft SQL Server ,Never,Basic statistical software,,,Yes,,,,,,,,,,
40-44,Man,Bachelor's,Student,,,,,< 1 years,Under 1 year,laptop,,Never,,Yes,,,,,,,,,,,,
40-44,Man,Doctoral,Data Scientist,Computers/Technology,"10,000 or more employees",exploring,"300,000-499,999",10-20 years,10-20 years,laptop,SQLite ,More than 25 times,Local development environments,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,
50-54,Man,Doctoral,Research Scientist,Non-profit/Service,0-49 employees,exploring,"150,000-199,999",5-10 years,I do not use machine learning methods,laptop,,Never,Basic statistical software,,Yes,,,,,,,,,,,
40-44,Man,Bachelor's,Data Scientist,Broadcasting/Communications,"1000-9,999 employees",well established,"125,000-149,999",10-20 years,5-10 years,deep learning workstation,Microsoft SQL Server ,More than 25 times,Business intelligence software,Yes,,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,
55-59,Man,Master's,Data Scientist,Accounting/Finance,"1000-9,999 employees",recently started,"200,000-249,999",20+ years,10-20 years,desktop,,Once,Local development environments,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,
35-39,Woman,Bachelor's,Product Manager,Computers/Technology,"1000-9,999 employees",for insights only,"80,000-89,999",I have never written code,,,,,,,,,,,,,,,,,,
30-34,Woman,Master's,Currently not employed,,,,,5-10 years,4-5 years,laptop,,Never,Other,Yes,,,Yes,,,,,,,Yes,,
30-34,Woman,Doctoral,Research Scientist,Other,"1000-9,999 employees",exploring,"25,000-29,999",10-20 years,5-10 years,laptop,,Never,Local development environments,Yes,,,Yes,,Yes,Yes,,Yes,Yes,,Yes,
18-21,Man,college study without degree,Student,,,,,< 1 years,Under 1 year,laptop,,Never,,Yes,Yes,Yes,,,,,,,,,,
55-59,Man,Master's,Program/Project Manager,Military/Security/Defense,"1000-9,999 employees",for insights only,"150,000-199,999",20+ years,3-4 years,laptop,,Never,Basic statistical software,,Yes,Yes,,,,,,Yes,Yes,,Yes,
50-54,Man,Bachelor's,DBA/Database Engineer,Retail/Sales,250-999 employees,exploring,"125,000-149,999",20+ years,Under 1 year,laptop,,Never,,Yes,Yes,Yes,Yes,Yes,,,,Yes,,,,
25-29,Prefer to self-describe,college study without degree,Currently not employed,,,,,3-5 years,Under 1 year,desktop,,Never,Basic statistical software,Yes,,,Yes,,,,,,Yes,,,
30-34,Man,Master's,Program/Project Manager,Marketing/CRM,"10,000 or more employees",recently started,"125,000-149,999",1-3 years,Under 1 year,laptop,,Never,Business intelligence software,Yes,Yes,Yes,,,,,,,,,,
18-21,Man,college study without degree,Student,,,,,3-5 years,1-2 years,laptop,,6-25 times,,Yes,,,,Yes,Yes,Yes,,,,,,Yes
22-24,Man,Bachelor's,Business Analyst,Accounting/Finance,"1000-9,999 employees",for insights only,"70,000-79,999",1-3 years,1-2 years,desktop,,Never,Local development environments,Yes,,Yes,Yes,,,,,Yes,Yes,,,Yes
45-49,Woman,Bachelor's,Data Analyst,Academics/Education,250-999 employees,for insights only,"80,000-89,999",1-3 years,1-2 years,laptop,Microsoft Azure SQL Database ,Never,Business intelligence software,Yes,,Yes,,,,Yes,,,,,,
30-34,Man,Master's,Machine Learning Engineer,Military/Security/Defense,0-49 employees,exploring,"100,000-124,999",10-20 years,2-3 years,deep learning workstation,PostgreSQL ,2-5 times,,Yes,,,Yes,,,Yes,,,,,,Yes
40-44,Man,Master's,Other,Accounting/Finance,"10,000 or more employees",I do not know,"100,000-124,999",10-20 years,1-2 years,laptop,,Never,Basic statistical software,Yes,Yes,Yes,,,,,,,,,,
35-39,Man,Master's,Data Scientist,Accounting/Finance,"10,000 or more employees",well established,"300,000-499,999",10-20 years,10-20 years,cloud computing platform,Snowflake ,2-5 times,Local development environments,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,,Yes
35-39,Man,Master's,Data Scientist,Medical/Pharmaceutical,50-249 employees,well established,"300,000-499,999",5-10 years,5-10 years,deep learning workstation,,Never,Local development environments,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,
18-21,Man,Bachelor's,Student,,,,,5-10 years,4-5 years,cloud computing platform,,6-25 times,Local development environments,Yes,,,,,,Yes,,,,,,Yes
25-29,Prefer to self-describe,Bachelor's,Data Scientist,Other,0-49 employees,exploring,0-999,1-3 years,Under 1 year,Other,,Never,Local development environments,Yes,,,,,,,,Yes,Yes,,,
25-29,Man,Doctoral,Student,,,,,3-5 years,Under 1 year,desktop,,Never,,Yes,,,,,,Yes,,,,,,
50-54,Woman,Master's,Currently not employed,,,,,< 1 years,Under 1 year,laptop,,2-5 times,,Yes,Yes,,Yes,,,,,,Yes,Yes,,Yes
70+,Woman,Bachelor's,Currently not employed,,,,,10-20 years,10-20 years,desktop,,Never,Basic statistical software,,,Yes,,,,,,Yes,Yes,,,
30-34,Man,Master's,Machine Learning Engineer,Online Service/Internet-based Services,0-49 employees,well established,"100,000-124,999",3-5 years,3-4 years,cloud computing platform,Amazon Redshift ,Never,Basic statistical software,Yes,,,,Yes,Yes,Yes,,,,,,Yes
60-69,Man,Professional doctorate,Research Scientist,Medical/Pharmaceutical,"1000-9,999 employees",do not use,"150,000-199,999",10-20 years,1-2 years,desktop,,Once,Other,,,,,Yes,,,,Yes,,,,Yes
40-44,Woman,Master's,Business Analyst,Computers/Technology,50-249 employees,well established,"60,000-69,999",I have never written code,,,,,,,,,,,,,,,,,,
30-34,Man,Bachelor's,Data Scientist,Other,"1000-9,999 employees",recently started,"125,000-149,999",5-10 years,4-5 years,laptop,,Once,Local development environments,Yes,,,Yes,Yes,,,,Yes,Yes,,,
25-29,Man,college study without degree,Student,,,,,1-3 years,Under 1 year,laptop,,Never,Local development environments,Yes,,,Yes,,,,,Yes,,,,
45-49,Man,Bachelor's,Software Engineer,Insurance/Risk Assessment,"10,000 or more employees",well established,"90,000-99,999",10-20 years,1-2 years,desktop,,Never,Local development environments,,,,,Yes,,,,Yes,,,,
30-34,Man,Doctoral,Student,,,,,3-5 years,2-3 years,desktop,,Never,,Yes,,,Yes,Yes,Yes,,,Yes,Yes,,,Yes
40-44,Man,Master's,Data Scientist,Energy/Mining,"10,000 or more employees",well established,"125,000-149,999",10-20 years,5-10 years,laptop,,Never,Cloud-based data software & APIs,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes
45-49,Man,Master's,Data Engineer,Other,50-249 employees,well established,"200,000-249,999",20+ years,10-20 years,cloud computing platform,,6-25 times,,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes
50-54,Man,Bachelor's,Data Engineer,Computers/Technology,"1000-9,999 employees",exploring,,20+ years,I do not use machine learning methods,laptop,,Never,,,,Yes,,,,,,,,,,
22-24,Man,prefer not to answer,Currently not employed,,,,,1-3 years,1-2 years,cloud computing platform,,2-5 times,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
55-59,Man,Doctoral,Research Scientist,Military/Security/Defense,"1000-9,999 employees",I do not know,"150,000-199,999",20+ years,5-10 years,laptop,,Never,Other,,,,,,,,,,,,,
40-44,Man,Doctoral,Research Scientist,Manufacturing/Fabrication,"10,000 or more employees",well established,"125,000-149,999",1-3 years,I do not use machine learning methods,desktop,,Never,Basic statistical software,Yes,,,,,,,,,,,,
25-29,Man,Bachelor's,Business Analyst,Medical/Pharmaceutical,250-999 employees,do not use,"70,000-79,999",I have never written code,,,,,,,,,,,,,,,,,,
45-49,Man,Master's,Data Scientist,Computers/Technology,"10,000 or more employees",recently started,"125,000-149,999",3-5 years,3-4 years,laptop,Microsoft SQL Server ,Never,Other,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,
30-34,Man,Master's,Data Engineer,,,,,3-5 years,,laptop,,2-5 times,,Yes,Yes,Yes,,,,,,,,,,
35-39,Man,Professional doctorate,Data Analyst,Medical/Pharmaceutical,"10,000 or more employees",for insights only,"50,000-59,999",1-3 years,1-2 years,desktop,,Never,,,Yes,Yes,,,,,,Yes,,,,
18-21,Woman,college study without degree,Currently not employed,,,,,1-3 years,I do not use machine learning methods,laptop,,Never,,,,,,,,,,,,,,
45-49,Man,Master's,Data Scientist,Computers/Technology,50-249 employees,well established,"150,000-199,999",20+ years,5-10 years,cloud computing platform,,2-5 times,Local development environments,Yes,,,Yes,,,,,,Yes,Yes,,
40-44,Man,Master's,Business Analyst,Accounting/Finance,"10,000 or more employees",well established,"25,000-29,999",< 1 years,Under 1 year,laptop,,Never,,Yes,,,Yes,,,,Yes,Yes,Yes,Yes,,
30-34,Woman,Master's,Data Analyst,Accounting/Finance,"10,000 or more employees",for insights only,"100,000-124,999",5-10 years,3-4 years,laptop,,Never,Business intelligence software,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,,
